date,place_name,race_num,race_type_detail,race_title_full,bank_length,distance,start_time,payout_yen,payout_pop,line_prediction,url,place_code,round,race_type,car_count,c1_existence,c1_name,c1_area,c1_age,c1_grad,c1_class,c1_leg,c1_score,c1_win,c1_2ren,c1_b,c1_rank,c2_existence,c2_name,c2_area,c2_age,c2_grad,c2_class,c2_leg,c2_score,c2_win,c2_2ren,c2_b,c2_rank,c3_existence,c3_name,c3_area,c3_age,c3_grad,c3_class,c3_leg,c3_score,c3_win,c3_2ren,c3_b,c3_rank,c4_existence,c4_name,c4_area,c4_age,c4_grad,c4_class,c4_leg,c4_score,c4_win,c4_2ren,c4_b,c4_rank,c5_existence,c5_name,c5_area,c5_age,c5_grad,c5_class,c5_leg,c5_score,c5_win,c5_2ren,c5_b,c5_rank,c6_existence,c6_name,c6_area,c6_age,c6_grad,c6_class,c6_leg,c6_score,c6_win,c6_2ren,c6_b,c6_rank,c7_existence,c7_name,c7_area,c7_age,c7_grad,c7_class,c7_leg,c7_score,c7_win,c7_2ren,c7_b,c7_rank
2026-04-02,小田原,04,P2-Chal,小田原競輪 レース詳細 | 東京スポーツ杯 4R チャレンジ準決勝 | 2026年04月02日【楽天Kドリームス】,333,1662,09:30,0,0,← 4先行 1追込 5追込 | 7押え先 2追込 3追込 6追込,https://keirin.kdreams.jp/odawara/racedetail/3620260401020004/,36,決勝,P2,7,1,佐藤 有輝,神奈川,47,85,A3,追,70.48,7.4,14.8,0,1,1,小田桐 義継,北海道,48,81,A3,追,73.31,13.6,27.2,0,0,1,武田 和也,奈良,38,92,A3,両,69.59,26.6,46.6,4,0,1,加藤 健一,神奈川,33,107,A3,逃,74.59,44.4,55.5,10,0,1,眞原 健一,神奈川,53,69,A3,追,70.25,8.3,29.1,0,0,1,松木 竜也,愛媛,56,65,A3,追,67.63,5.0,10.0,0,0,1,吉岡 優太,茨城,24,127,A3,逃,77.93,53.3,73.3,10,0
2026-04-02,大垣,04,P2-Chal,大垣競輪 レース詳細 | おトクにＰＬＡＹオッズパーク杯 4R チャレンジ準決勝 | 2026年04月02日【楽天Kドリームス】,400,1625,12:19,0,0,← 7先行 1追込 | 6押え先 2追込 | 5押え先 3追込 4追込,https://keirin.kdreams.jp/ogaki/racedetail/4420260401020004/,44,決勝,P2,7,1,竜門 孝宗,兵庫,39,95,A3,追,73.09,13.6,18.1,0,0,1,中村 賢二,愛知,42,97,A3,追,70.23,26.6,30.0,0,0,1,中野 良,北海道,50,83,A3,追,73.87,16.6,45.8,0,2,1,渡辺 馨,神奈川,42,96,A3,両,71.57,6.6,33.3,0,0,1,木村 優駿,埼玉,20,127,A3,逃,78.23,52.3,85.7,15,0,1,上野 幸星,富山,24,127,A3,逃,68.53,10.0,20.0,10,0,1,秋末 蓮,兵庫,25,125,A3,逃,76.57,47.6,61.9,12,3
2026-04-02,大垣,09,P2-A12,大垣競輪 レース詳細 | おトクにＰＬＡＹオッズパーク杯 9R Ａ級準決勝 | 2026年04月02日【楽天Kドリームス】,400,2025,14:43,0,0,← 4自在 1追込 | 7押え先 2追込 | 6押え先 5追込 3追込,https://keirin.kdreams.jp/ogaki/racedetail/4420260401020009/,44,決勝,P2,7,1,後藤 彰仁,岐阜,40,92,A1,追,85.16,11.1,22.2,0,0,1,佐藤 成人,奈良,52,71,A1,追,91.19,4.7,28.5,0,0,1,中西 司,神奈川,44,95,A2,追,81.95,0.0,10.0,0,0,1,山口 聖矢,岐阜,32,115,A1,両,87.80,26.6,46.6,1,0,1,桐山 敬太郎,神奈川,43,88,A1,追,92.26,13.0,34.7,0,0,1,照井 力斗,岩手,24,121,A1,逃,80.95,14.2,23.8,7,3,1,吉田 篤史,奈良,37,109,A2,両,85.26,6.6,40.0,7,3
2026-04-02,玉野,08,P2-S,玉野競輪 レース詳細 | ガッツ玉ちゃん杯 8R Ｓ級予選 | 2026年04月02日【楽天Kドリームス】,400,2025,18:36,0,0,← 3自在 5追込 | 7押え先 1追込 | 2押え先 4追込 6追込,https://keirin.kdreams.jp/tamano/racedetail/6120260402010008/,61,予選,P2,7,1,竹村 勇祐,秋田,36,96,S2,追,102.95,8.6,21.7,0,0,1,山根 将太,岡山,28,119,S2,逃,101.10,18.1,36.3,5,0,1,瀬戸 晋作,長崎,32,107,S1,両,99.39,13.0,30.4,0,0,1,高津 晃治,岡山,46,87,S2,追,100.42,7.6,11.5,0,0,1,中村 健志,熊本,40,96,S2,追,96.18,4.3,8.6,0,4,1,児玉 慎一郎,香川,51,76,S2,追,94.00,4.3,8.6,0,0,1,佐藤 博紀,岩手,40,96,S1,両,103.08,21.7,39.1,1,0
2026-04-02,大垣,08,P2-A12,大垣競輪 レース詳細 | おトクにＰＬＡＹオッズパーク杯 8R Ａ級特一般 | 2026年04月02日【楽天Kドリームス】,400,2025,14:13,0,0,← 6先行 3追込 5追込 1追込 | 7押え先 2追込 4追込,https://keirin.kdreams.jp/ogaki/racedetail/4420260401020008/,44,一般,P2,7,1,阿部 宏之,宮城,50,82,A2,追,81.05,0.0,10.5,0,0,1,松崎 貴久,富山,51,82,A1,追,87.08,20.8,29.1,0,0,1,井上 雄三,埼玉,43,88,A2,追,84.41,12.5,25.0,0,0,1,柴田 祐也,岐阜,42,94,A2,追,79.72,0.0,13.6,0,0,1,梅原 大治,静岡,49,81,A2,追,83.87,6.2,6.2,0,0,1,平川 雅晃,長野,34,107,A2,逃,79.33,4.7,9.5,10,0,1,山崎 晃,石川,40,95,A2,両,81.37,8.3,20.8,9,0
2026-04-02,岸和田,02,P2-A12,岸和田競輪 レース詳細 | 前検日コメならウィンチケット杯 2R Ａ級一般 | 2026年04月02日【楽天Kドリームス】,400,2025,11:09,0,0,← 2先行 6追込 | 1追上 5追込 | 3押え先 7追込 4追込,https://keirin.kdreams.jp/kishiwada/racedetail/5620260401020002/,56,一般,P2,7,1,中野 智公,和歌山,36,99,A2,追,85.66,0.0,19.0,0,0,1,勝俣 亮,神奈川,48,82,A2,両,81.55,11.1,27.7,1,0,1,高谷 敏史,青森,40,91,A2,両,79.25,4.1,4.1,7,0,1,小磯 知也,徳島,51,76,A2,追,78.95,0.0,13.0,0,0,1,布居 寛幸,和歌山,52,72,A1,追,83.30,4.3,21.7,0,0,1,河合 康晴,静岡,56,68,A2,追,77.45,0.0,0.0,0,0,1,田村 真広,群馬,51,83,A2,追,84.66,13.3,20.0,0,0
2026-04-02,岸和田,06,P2-S,岸和田競輪 レース詳細 | 前検日コメならウィンチケット杯 6R Ｓ級一般 | 2026年04月02日【楽天Kドリームス】,400,2025,12:55,0,0,← 1自在 7追込 | 2追上 | 3自在 6追込 5追込 | 4追上,https://keirin.kdreams.jp/kishiwada/racedetail/5620260401020006/,56,一般,P2,7,1,佐々木 和紀,神奈川,29,117,S2,追,104.00,18.1,27.2,0,0,1,菊谷 信一,大阪,41,90,S2,追,97.37,0.0,0.0,0,0,1,才迫 開,広島,34,101,S2,両,101.28,19.2,26.9,1,0,1,志村 龍己,山梨,39,98,S2,追,96.00,8.6,17.3,0,0,1,山崎 泰己,岡山,36,101,S2,追,96.00,0.0,15.3,0,0,1,西岡 拓朗,広島,42,97,S2,追,95.75,0.0,8.3,0,0,1,成清 貴之,千葉,52,73,S2,追,99.31,5.2,21.0,0,0
2026-04-02,宇都宮,06,P1,宇都宮競輪 レース詳細 | ＦＩＢＡ３×３宇都宮・Ｋドリ杯 6R Ａ級準決勝 | 2026年04月02日【楽天Kドリームス】,400,1625,22:54,0,0,← 1先行 4追込 5追込 | 7追上 | 3押え先 2追込 6追込,https://keirin.kdreams.jp/utsunomiya/racedetail/2420260401020006/,24,決勝,P1,7,1,山本 浩成,福岡,27,119,A1,逃,92.72,33.3,50.0,5,0,1,高橋 広大,埼玉,38,99,A1,追,92.41,16.6,33.3,0,0,1,石田 典大,東京,28,123,A2,逃,90.14,42.8,52.3,14,0,1,作田 悦章,徳島,43,92,A1,追,87.07,13.3,33.3,0,0,1,守安 政雄,岡山,47,94,A2,追,86.57,4.7,33.3,0,3,1,田中 孝彦,静岡,39,91,A1,追,85.66,16.6,29.1,0,0,1,大西 健士,神奈川,45,88,A2,追,84.57,4.7,28.5,0,2
2026-04-02,玉野,09,P2-S,玉野競輪 レース詳細 | ガッツ玉ちゃん杯 9R Ｓ級予選 | 2026年04月02日【楽天Kドリームス】,400,2025,19:00,0,0,← 5先行 1追込 | 2自在 7追込 4追込 | 6押え先 3追込,https://keirin.kdreams.jp/tamano/racedetail/6120260402010009/,61,予選,P2,7,1,徳永 哲人,熊本,43,100,S1,両,99.56,16.0,24.0,2,0,1,齋木 翔多,静岡,27,115,S2,逃,106.95,25.0,55.0,11,0,1,伊藤 裕貴,三重,34,100,S2,両,101.93,6.2,43.7,0,0,1,開坂 秀明,青森,50,79,S2,追,98.18,0.0,16.6,0,0,1,河崎 正晴,熊本,25,121,S2,逃,101.13,0.0,13.0,5,0,1,佐藤 竜太,愛知,25,119,S2,逃,92.36,8.0,8.0,6,3,1,鈴木 裕,千葉,41,92,S2,両,103.09,17.3,26.0,1,5
2026-04-02,武雄,01,P3,武雄競輪 レース詳細 | オッズ・パーク杯 1R ガールズ予選１ | 2026年04月02日【楽天Kドリームス】,400,1625,08:40,0,0,← 2イン待 | 1追上 | 3自在 | 4追上 | 5押え先 | 6自在 | 7追上,https://keirin.kdreams.jp/takeo/racedetail/8420260402010001/,84,予選,P3,7,1,田野口 佳奈,香川,21,126,L1,両,48.46,7.6,15.3,0,0,1,是永 ゆうき,大分,22,126,L1,追,51.00,9.0,27.2,0,0,1,豊岡 英子,大阪,45,114,L1,両,50.32,8.0,24.0,1,0,1,牧田 咲子,青森,24,128,L1,両,49.04,4.1,12.5,0,0,1,奥井 迪,東京,44,106,L1,逃,53.90,23.8,57.1,13,0,1,田中 月菜,佐賀,25,118,L1,両,51.61,5.5,38.8,1,2,1,岡村 育子,埼玉,49,102,L1,追,45.00,0.0,0.0,0,0
